hostname,pl_name,default_flag,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,Ms,Ms_err1,Ms_err2
WASP-84,WASP-84b,1,,2,0.0778,0.0021,0.0021,0.956,0.024,0.024,0.692,0.058,0.058,0,,,88.292,0.045,0.042,17.3,7.7,7.7,0.853,0.038,0.038
WASP-84,WASP-84b,1,,2,0.02359,0.001,0.001,0.174,0.011,0.011,0.048,0.014,0.013,0,,,83.2,0.51,0.49,,,,0.853,0.038,0.038
TOI-1136,TOI-1136b,1,,6,0.05106,0.0009,0.0009,,,,0.011,0.0025,0.0022,0.027,0.009,0.009,86.4,0.6,0.6,,,,1.022,0.027,0.027
TOI-1136,TOI-1136c,1,,6,0.0669,0.0005,0.0005,,,,0.0199,0.0035,0.0041,0.11,0.01,0.01,88.8,0.7,1,,,,1.022,0.027,0.027
TOI-1136,TOI-1136d,1,,6,0.1062,0.0008,0.0008,,,,0.02627,0.00566,0.00503,0.042,0.004,0.004,89.2,0.5,0.5,0,28,28,1.022,0.027,0.027
TOI-1136,TOI-1136e,1,,6,0.139,0.002,0.002,,,,0.0191,0.0034,0.0032,0.0425,0.004,0.004,89.2,0.5,0.5,,,,1.022,0.027,0.027
TOI-1136,TOI-1136f,1,,6,0.174,0.002,0.002,,,,0.0305,0.0123,0.1116,0.001,0.001,0.001,89.3,0.4,0.4,,,,1.022,0.027,0.027
TOI-1136,TOI-1136g,1,,6,0.229,0.003,0.003,,,,0.018,0.013,0.01,0.04,0.01,0.01,89.5,0.3,0.3,,,,1.022,0.027,0.027
TOI-5398,TOI-5398b,1,,2,0.098,0.005,0.005,,,,0.185,0.018,0.018,0.13,0.01,0.1,89.21,0.31,0.21,13.2,8.2,8.2,1.146,0.013,0.013
TOI-5398,TOI-5398c,1,,2,0.057,0.003,0.003,,,,0.0371,0.0151,0.0148,0.14,0.01,0.1,88.4,1.6,0.1,,,,1.146,0.013,0.013
WASP-47,WASP-47b,1,,4,0.0507,0.0016,0.0016,,,,1.18,0.05,0.05,0.0006,0.0005,0.0002,89,0.17,0.17,29,11,13,1.058,0.047,0.047
WASP-47,WASP-47c,1,,4,1.393,0.014,0.014,,,,1.41,0.06,0.07,0.264,0.007,0.012,90,1,1,,,,1.058,0.047,0.047
WASP-47,WASP-47d,1,,4,0.085,0.0027,0.0027,,,,0.0488,0.0022,0.0028,0.001,0.0008,0.0007,89.23,0.1,0.1,,,,1.058,0.047,0.047
WASP-47,WASP-47e,1,,4,0.01673,0.00053,0.00053,,,,0.028,0.02,0.01,0,0,0,86.73,1.76,1.76,,,,1.058,0.047,0.047
TOI-2076,TOI-2076b,1,,3,0.0682,0.0013,0.0013,0.2246,0.0032,0.0032,,,,0.023,0.02,0.02,89.78,0.4,0.4,18,10,9,0.824,0.035,0.037
TOI-2076,TOI-2076c,1,,3,0.1093,0.0021,0.0021,0.312,0.0038,0.0038,,,,0.047,0.028,0.024,89.82,0.12,0.12,,,,0.824,0.035,0.037
TOI-2076,TOI-2076d,1,,3,0.1539,0.0029,0.0029,0.2883,0.0056,0.0056,,,,0.075,0.052,0.052,88.92,0.08,0.08,,,,0.824,0.035,0.037
TOI-942,TOI-942b,1,,2,0.04866,0.00017,0.00013,0.347,0.022,0.021,,,,0.05,0.1,0.1,89.966,0.02,0.024,1,41,33,0.822,0.0079,0.0064
TOI-942,TOI-942c,1,,2,0.08598,0.00027,0.00022,0.417,0.03,0.027,,,,0.08,0.1,0.1,89.16,0.38,0.3,,,,0.822,0.0079,0.0064
HD 3167,HD 3167b,1,,4,0.01802,0.00025,0.00025,,,,0.0149,0.0009,0.0009,0,0.1,0,87.59,1.63,1.75,29.5,7.2,9.4,0.852,0.026,0.015
HD 3167,HD 3167c,1,,4,0.1783,0.0025,0.0025,,,,0.3357,0.00267,0.00255,0,0.15,0,89.421,0.13,0.071,107.7,5.1,4.9,0.852,0.026,0.015
HD 3167,HD 3167d,1,,4,0.07703,0.00106,0.00108,,,,0.0158,0.0016,0.0016,0,0.2,0,89.421,0.13,0.071,,,,0.852,0.026,0.015
HD 3167,HD 3167e,1,,4,0.4048,0.0077,0.0074,,,,0.03065,0.00378,0.00362,0,0.3,0,89.421,0.13,0.071,,,,0.852,0.026,0.015
Kepler-56,Kepler-56b,1,,3,0.1028,0.0037,0.0037,,,,0.07,0.012,0.011,0,0,0,83.84,0.26,0.25,37,0,37,1.32,0.13,0.13
Kepler-56,Kepler-56c,1,,3,0.1652,0.0059,0.0059,,,,0.57,0.066,0.06,0,0,0,84.02,0.087,0.091,37,0,37,1.32,0.13,0.13
WASP-148,WASP-148b,1,,2,0.08215,0.00086,0.0015,,,,0.287,0.022,0.016,0.208,0.02,0.025,89.3,0.24,0.24,8.2,8.7,9.7,0.954,0.03,0.052
WASP-148,WASP-148c,1,,2,0.2044,0.0021,0.0038,,,,0.392,0.023,0.027,0.1809,0.018,0.0072,68.5,4.6,4.6,,,,0.954,0.03,0.052
TOI-451,TOI-451b,1,,3,0.0283,0.0011,0.0012,0.17,0.011,0.011,,,,0,0,0,88.2,1.2,1.7,40,22,28,0.95,0.02,0.02
TOI-451,TOI-451c,1,,3,0.0823,0.0033,0.0036,0.277,0.012,0.012,,,,0,0,0,89.61,0.27,0.36,,,,0.95,0.02,0.02
TOI-451,TOI-451d,1,,3,0.1208,0.0048,0.0052,0.363,0.013,0.013,,,,0,0,0,89.25,0.084,0.1,,,,0.95,0.02,0.02
K2-290,K2-290 b,1,,2,0.0923,0.0066,0.0066,10.9,0,0,0,0,0,0,0,0,88.14,0.62,0.5,117.8,14,11,1.194,0.067,0.077
K2-290,K2-290 c,1,,2,0.305,0.017,0.017,246.00042,15,15,0,0,0,0,0,0,89.37,0.08,0.07,124,6,6,1.194,0.067,0.077
Kepler-462,Kepler-462 b,1,,2,0.473,0.021,0.021,0.45,0.03,0.03,,,,0.056,0.019,0,89.34,0.05,0.05,72,3,3,1.965,0.256,0.256
Kepler-462,Kepler-462 c,1,,2,0.859,0.037,0.037,0.43,0.05,0.05,,,,0.5,0.09,0,90.64,0.06,0.06,72,11,5,1.965,0.256,0.256
